loc_x,loc_y,shot_type,shot_made_flag
-157,0,Jump Shot,0.0
-101,135,Jump Shot,1.0
138,175,Jump Shot,0.0
0,0,Dunk,1.0
-145,-11,Jump Shot,0.0
0,0,Layup,1.0
-65,108,Jump Shot,1.0
-33,125,Jump Shot,0.0
-94,238,Jump Shot,0.0
121,127,Jump Shot,1.0
-67,110,Jump Shot,1.0
-94,4,Jump Shot,0.0
-23,47,Jump Shot,0.0
62,192,Jump Shot,0.0
-117,226,Jump Shot,1.0
-132,97,Jump Shot,0.0
3,144,Jump Shot,0.0
134,127,Jump Shot,0.0
-16,110,Jump Shot,1.0
-109,150,Jump Shot,1.0
-46,63,Jump Shot,1.0
0,0,Layup,0.0
-58,196,Jump Shot,0.0
-183,186,Jump Shot,0.0
85,173,Jump Shot,0.0
3,87,Jump Shot,0.0
121,4,Jump Shot,1.0
127,34,Jump Shot,0.0
91,184,Jump Shot,1.0
-27,272,Jump Shot,1.0
-176,66,Jump Shot,0.0
7,4,Layup,1.0
150,133,Jump Shot,1.0
49,15,Jump Shot,0.0
-4,4,Layup,1.0
-4,4,Dunk,0.0
1,9,Dunk,1.0
121,120,Jump Shot,1.0
1,9,Layup,0.0
-12,9,Layup,0.0
24,70,Jump Shot,0.0
-189,-4,Jump Shot,0.0
-155,194,Jump Shot,0.0
1,228,Jump Shot,1.0
0,0,Layup,1.0
0,0,Dunk,1.0
-33,108,Jump Shot,0.0
22,49,Layup,1.0
0,0,Layup,0.0
56,21,Layup,0.0
121,26,Jump Shot,1.0
231,57,Jump Shot,0.0
0,0,Layup,1.0
0,0,Dunk,1.0
7,257,Jump Shot,1.0
0,0,Layup,1.0
51,57,Jump Shot,0.0
167,190,Jump Shot,0.0
-119,190,Jump Shot,1.0
16,57,Jump Shot,0.0
-84,110,Jump Shot,0.0
-71,42,Jump Shot,0.0
30,133,Jump Shot,1.0
1,156,Jump Shot,0.0
132,211,Jump Shot,0.0
-8,4,Dunk,0.0
132,127,Jump Shot,1.0
-29,188,Jump Shot,1.0
140,76,Jump Shot,1.0
140,0,Jump Shot,1.0
-1,156,Jump Shot,1.0
-151,4,Jump Shot,1.0
110,76,Jump Shot,0.0
132,87,Jump Shot,0.0
-58,251,Jump Shot,1.0
-94,160,Jump Shot,1.0
-193,150,Jump Shot,0.0
140,0,Jump Shot,1.0
39,9,Jump Shot,0.0
24,150,Jump Shot,0.0
-1,0,Dunk,1.0
119,133,Jump Shot,1.0
119,19,Jump Shot,0.0
-193,42,Jump Shot,0.0
-166,55,Jump Shot,0.0
24,116,Jump Shot,0.0
-65,156,Jump Shot,0.0
-166,26,Jump Shot,1.0
-58,76,Jump Shot,0.0
-37,70,Jump Shot,0.0
-94,188,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
0,0,Tip Shot,0.0
0,0,Dunk,1.0
0,0,Layup,1.0
85,141,Jump Shot,0.0
-88,158,Jump Shot,1.0
0,0,Dunk,1.0
0,0,Hook Shot,1.0
1,276,Jump Shot,1.0
155,-8,Jump Shot,1.0
-155,13,Jump Shot,1.0
-84,133,Jump Shot,0.0
-178,-8,Jump Shot,0.0
16,89,Jump Shot,0.0
-48,106,Jump Shot,1.0
-170,13,Jump Shot,0.0
-119,133,Jump Shot,0.0
9,40,Jump Shot,0.0
-84,82,Jump Shot,0.0
9,59,Jump Shot,0.0
0,0,Dunk,1.0
9,59,Jump Shot,1.0
0,0,Tip Shot,0.0
0,0,Layup,0.0
0,0,Dunk,1.0
129,-4,Jump Shot,1.0
-98,97,Jump Shot,1.0
167,78,Jump Shot,0.0
108,249,Jump Shot,0.0
100,175,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,0.0
115,169,Jump Shot,0.0
1,72,Jump Shot,0.0
0,0,Dunk,1.0
113,230,Jump Shot,1.0
0,0,Layup,1.0
0,0,Dunk,1.0
0,0,Layup,0.0
98,194,Jump Shot,1.0
-117,184,Jump Shot,0.0
-168,-2,Jump Shot,0.0
70,36,Jump Shot,0.0
0,0,Layup,0.0
-37,42,Jump Shot,1.0
163,116,Jump Shot,0.0
113,179,Jump Shot,1.0
169,-2,Jump Shot,1.0
91,156,Jump Shot,0.0
134,93,Jump Shot,0.0
47,477,Jump Shot,0.0
11,137,Jump Shot,0.0
199,13,Jump Shot,0.0
77,236,Jump Shot,0.0
11,247,Jump Shot,0.0
-103,230,Jump Shot,0.0
-31,247,Jump Shot,1.0
-10,99,Jump Shot,1.0
13,100,Jump Shot,0.0
-73,200,Jump Shot,1.0
-77,184,Jump Shot,1.0
188,177,Jump Shot,0.0
0,0,Layup,0.0
-128,137,Jump Shot,0.0
0,0,Dunk,1.0
1,93,Jump Shot,0.0
115,160,Jump Shot,1.0
159,200,Jump Shot,1.0
167,0,Jump Shot,0.0
-162,245,Jump Shot,0.0
167,-6,Jump Shot,0.0
-4,150,Jump Shot,1.0
